exp_id	timestamp	concept	qa_score	judge_score	combined_score	verdict	change_summary	prompts_hash	highlights_preview
0013	2026-03-14T03:42:25.062330+00:00	Mini Shepherd's Pies	93	5	75.8	DISCARD	    return INJECTION_TEMPLATE.format(	31e9ea35	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0014	2026-03-14T03:43:31.712197+00:00	Mini Shepherd's Pies	93	3	67.8	DISCARD	    return INJECTION_TEMPLATE.format(	92d63f49	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0015	2026-03-14T03:44:40.188016+00:00	Mini Shepherd's Pies	85	4	67.0	DISCARD	    # Assemble final injection - keep it clean without the character arc block	03512592	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0016	2026-03-14T03:45:48.000419+00:00	Mini Shepherd's Pies	94	5	76.4	DISCARD	    # This helps Sunday characters reference a turning point	10e46ecb	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0017	2026-03-14T03:47:01.630816+00:00	Mini Shepherd's Pies	93	4	71.8	DISCARD	        "\n\nIMPORTANT: Sunday's dialogue must reference at least two specific details "	00d3636b	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0018	2026-03-14T03:48:03.303521+00:00	Mini Shepherd's Pies	86	4	67.6	DISCARD	        open_threads_text = recent_anchor + "\n- No major unresolved disagreements - Sunday can reflect on the full week's journey and finalize decisions."	52d9c485	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret, Marcus, and Stephanie are testing three p | Wednesday: Julian shot three lighting variations of the mini
0019	2026-03-14T03:49:06.896941+00:00	Mini Shepherd's Pies	85	4	67.0	DISCARD	    return INJECTION_TEMPLATE.format(	53ff5f34	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0020	2026-03-14T03:50:17.603370+00:00	Mini Shepherd's Pies	93	7	83.8	DISCARD	        open_threads_text = (	2605f67a	Monday: Margaret proposed mini shepherd's pies made with pro | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0021	2026-03-14T03:51:27.452302+00:00	Mini Shepherd's Pies	94	5	76.4	DISCARD	            for i, word in enumerate(words):	aee4b064	Monday: Margaret proposed making proper mini shepherd's pies | Tuesday: Margaret is testing three potato-to-filling ratios  | Wednesday: Julian shot three lighting variations of the mini
0000	2026-03-14T03:58:17.921637+00:00	Jalapeño Corn Dog Bites	93	5	75.8	BASELINE	no compression (baseline)	024393fc	(none)
0001	2026-03-14T03:58:58.854842+00:00	Jalapeño Corn Dog Bites	85	4	67.0	INITIAL	default compression template	024393fc	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three shots of the bite-through 
0002	2026-03-14T04:00:13.201922+00:00	Jalapeño Corn Dog Bites	94	6	80.4	KEEP	            recent_anchor + "\n"	2605f67a	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed the cornmeal-to-flour ratio at 6 | Wednesday: Julian presented three lighting options for the b
0000	2026-03-14T04:11:00.807775+00:00	Jalapeño Corn Dog Bites	92	2	63.2	BASELINE	no compression (baseline)	024393fc	(none)
0001	2026-03-14T04:11:37.793255+00:00	Jalapeño Corn Dog Bites	92	6	79.2	INITIAL	default compression template	024393fc	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0002	2026-03-14T04:12:53.281790+00:00	Jalapeño Corn Dog Bites	88	4	68.8	DISCARD	            for j, word in enumerate(words):	3923007c	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three lighting options for the b
0003	2026-03-14T04:14:14.202938+00:00	Jalapeño Corn Dog Bites	69	6	65.4	DISCARD	        open_threads_text = (	c2e80e19	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three options for the bite-throu
0004	2026-03-14T04:15:29.953717+00:00	Jalapeño Corn Dog Bites	94	7	84.4	KEEP	        open_threads_text = (	d210f2e8	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three options for the bite-throu
0005	2026-03-14T04:16:39.354976+00:00	Jalapeño Corn Dog Bites	89	n/a	89.0	KEEP	                    character_positions[clean_word] = []	78e78ced	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0006	2026-03-14T04:17:56.524863+00:00	Jalapeño Corn Dog Bites	95	n/a	95.0	KEEP	        for sentence in sentences:	2486b199	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three lighting options for the b
0007	2026-03-14T04:19:39.018105+00:00	Jalapeño Corn Dog Bites	87	6	76.2	DISCARD	        "instead", "rather", "opposed", "conflict", "tension",	1333d5c2	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three shots of the bite-through 
0008	2026-03-14T04:21:07.368966+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	        top_recurring = recurring[:3]	81ff480d	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three options for the bite-throu
0009	2026-03-14T04:22:39.340900+00:00	Jalapeño Corn Dog Bites	86	6	75.6	DISCARD	                if len(sentence.split()) >= 5:	376f4865	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0010	2026-03-14T04:24:02.440411+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	            sentences = [s.strip() for s in detail.split(".") if s.strip()]	629b6b30	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0011	2026-03-14T04:25:31.556532+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	            if any(marker in sentence_lower for marker in decision_markers):	aac70dd4	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three shots of the bite-through 
0012	2026-03-14T04:26:50.213691+00:00	Jalapeño Corn Dog Bites	92	5	75.2	DISCARD	                "Still", "The", "This", "That", "It", "We", "They", "He", "She",	bc9c63de	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three lighting options for the b
0013	2026-03-14T04:28:21.172329+00:00	Jalapeño Corn Dog Bites	89	6	77.4	DISCARD	                    "Key", "Also", "Both", "All", "Some", "More", "Less",	10ce801c	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three options for the bite-throu
0014	2026-03-14T04:29:51.103651+00:00	Jalapeño Corn Dog Bites	95	6	81.0	DISCARD	                sunday_agenda_items.append(f"- Resolve: {open_text}")	a9751da0	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0015	2026-03-14T04:31:08.876676+00:00	Jalapeño Corn Dog Bites	93	7	83.8	DISCARD	                    "Key", "Also", "Both", "All", "Some", "More", "Less",	8c40349d	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three shots of the bite-through 
0016	2026-03-14T04:32:36.977240+00:00	Jalapeño Corn Dog Bites	95	5	77.0	DISCARD	            sunday_agenda_items.append(f"- Resolve: {open_text}")	76375c6a	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three options for the bite-throu
0017	2026-03-14T04:34:07.237463+00:00	Jalapeño Corn Dog Bites	91	5	74.6	DISCARD	    return base_injection + resolution_prompt	e4737eed	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed the cornmeal-to-flour ratio at 6 | Wednesday: Julian presented three options for the bite-throu
0018	2026-03-14T04:35:45.390566+00:00	Jalapeño Corn Dog Bites	91	4	70.6	DISCARD	                            "Still", "The", "This", "That", "It", "We", "They", "He", "She",	011e60ee	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three lighting options for the b
0019	2026-03-14T04:37:09.667662+00:00	Jalapeño Corn Dog Bites	86	6	75.6	DISCARD	        "I", "A", "An", "In", "On", "At", "By", "For", "With", "From",	15358a0e	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0020	2026-03-14T04:38:27.574704+00:00	Jalapeño Corn Dog Bites	88	4	68.8	DISCARD	no visible change	eea49ee5	Monday: Margaret opened with "Jalapeño corn dog bites. We're | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three bite-through shots. Stepha
0021	2026-03-14T04:39:36.276847+00:00	Jalapeño Corn Dog Bites	95	7	85.0	DISCARD	        "still open", "unresolved", "disagree", "debate",	53b9db99	Monday: Margaret pushed the team to justify the technique, n | Tuesday: Margaret confirmed a 60-40 cornmeal-to-flour minimu | Wednesday: Julian presented three options for the bite-throu
0000	2026-03-14T04:44:31.838144+00:00	Jalapeño Corn Dog Bites	93	7	83.8	BASELINE	no compression (baseline)	1333d5c2	(none)
0001	2026-03-14T04:45:02.329580+00:00	Jalapeño Corn Dog Bites	81	6	72.6	INITIAL	default compression template	1333d5c2	Monday: Margaret opened with: "Jalapeño corn dog bites. We'r | Tuesday: **Jalapeño Corn Dog Bites - Tuesday Summary** |  | Marg | Wednesday: Julian presented three lighting approaches for th
0002	2026-03-14T04:46:24.275419+00:00	Jalapeño Corn Dog Bites	93	6	79.8	KEEP	    # The injection template + open threads + character positions is enough	6e196c7d	Monday: Margaret challenged the team on jalapeño corn dog bi | Tuesday: Margaret established the cornmeal-to-flour ratio at | Wednesday: Julian presented three lighting takes of the jala
